cycle,t_read_ms,t_lane_ms,t_sign_ms,t_control_ms,latency_ms
180,0.2125569999407162,3.4720740000011574,0.015314999927795725,0.009000000318337698,3.708946000188007
181,0.11981599982391344,3.448166999987734,0.01633300007597427,0.010536999980104156,3.594852999867726
182,0.20640900038415566,3.4674079997785157,0.01670299980105483,0.008371000149054453,3.6988910001127806
183,0.23813100006009336,3.4754260000227077,0.0165930000548542,0.008426000022154767,3.73857600015981
184,0.14698299992232933,3.4059250001519104,0.014370999906532234,0.008184999842342222,3.575463999823114
185,0.20807500004593749,3.4379080002509,0.018258999716636026,0.008352000349987065,3.6725940003634605
186,0.12518599987743073,3.4478890001992113,0.01849999989644857,0.007332999757636571,3.598907999730727
187,0.21631599975080462,3.455686000052083,0.01868499975898885,0.007722000191279221,3.6984089997531555
188,0.23487099997510086,3.6720200000672776,0.022871000055602053,0.009499999578110874,3.9392619996760914
189,0.21351899977162248,3.604112000175519,0.02431499979138607,0.01011199992717593,3.8520579996657034
190,0.2182790003644186,3.4864629997173324,0.01974099996004952,0.00964800028668833,3.734131000328489
191,0.1654640000197105,3.5142589999850316,0.026574999992590165,0.011481000001367647,3.7177789999987
192,0.24687199993422837,3.475685000012163,0.019962999886047328,0.00925899985304568,3.7517789996854845
193,0.40018799973040586,5.690085999958683,0.018574000023363624,0.0076110000009066425,6.116458999713359
194,0.17189000027428847,3.4103139996659593,0.01583400035087834,0.006444000064220745,3.604482000355347
195,0.38624299986622646,3.782520000186196,0.042036999730044045,0.016259999938483816,4.22705999972095
196,0.3717800000231364,3.846891000193864,0.034777999644575175,0.013963000128569547,4.267411999990145
197,0.2818909997586161,3.4723520002444275,0.019536999843694502,0.007759000254736748,3.781539000101475
198,0.18590799982121098,3.627742000389844,0.015129999610508094,0.009222000244335504,3.8380020000658988
199,0.18577900027594296,3.382074000001012,0.012852000054408563,0.007944999651954276,3.5886499999833177
200,0.21700100023736013,3.482703999907244,0.015908000023046043,0.008758999683777802,3.724371999851428
201,0.16777899963926757,3.5225190003984608,0.018666999949346064,0.011980999715888174,3.7209459997029626
202,0.2160200001526391,3.474018999895634,0.019778000023507047,0.008999999863590347,3.7188169999353704
203,0.22735299990017666,3.434666999964975,0.016723000044294167,0.009295999916503206,3.688038999825949
204,0.13148200014256872,3.4488890000829997,0.015574999906675657,0.008665999757795362,3.6046119998900394
205,0.2270569998472638,3.4474630001568585,0.01746299994920264,0.00963000002229819,3.701612999975623
206,0.19875999987561954,4.032226000163064,0.013851999938196968,0.008443999831797555,4.253281999808678
207,0.23251899983733892,3.4387599998808582,0.017166000361612532,0.010166999800276244,3.698611999880086
208,0.1608899997336266,3.579001000161952,0.01594400009707897,0.009092999789572787,3.7649279997822305
209,0.3700759998537251,3.38564799994856,0.023796000277798157,0.010888999895541929,3.790408999975625
210,0.20864899988737307,3.299629000139248,0.015685000107623637,0.008703999810677487,3.5326669999449223
211,0.1632229996175738,3.3520180004416034,0.01631499981158413,0.008129999969241908,3.539685999840003
212,0.21239000034256605,3.2948329999271664,0.014963000012357952,0.007925999852886889,3.5301120001349773
213,0.21114899982421775,3.416222999931051,0.01640700020288932,0.009314999715570593,3.653093999673729
214,0.16346399979738635,3.391463000298245,0.014629999895987567,0.008333000096172327,3.577890000087791
215,0.24950099987108842,3.4380560000499827,0.016388999938499182,0.009093000244320137,3.7130390001038904
216,0.1879079995887878,3.5209630000281322,0.017815000319387764,0.048518999847146915,3.7752049997834547
217,0.21463099983520806,3.4039619999930437,0.013518999821826583,0.008408000212511979,3.6405199998625903
218,0.4236690001562238,3.4750919999169128,0.017000999832816888,0.007666000328754308,3.9234280002347077
219,0.1494269999966491,3.3505179999337997,0.03366700002516154,0.007945000106701627,3.541557000062312
220,0.21711199997298536,3.4764269998959207,0.0177590000021155,0.007740999990346609,3.719038999861368
221,0.20675999985542148,3.9895220002108545,0.033721999898261856,0.016667000181769254,4.246671000146307
222,0.2110749996973027,3.5061860003224865,0.018740999621513765,0.008185000297089573,3.7441869999383925
223,0.21576000017375918,3.4430380001140293,0.019721999706234783,0.007999999979801942,3.686519999973825
224,0.13550099993153708,3.462259000116319,0.018649000139703276,0.008314999831782188,3.6247240000193415
225,0.2119450000463985,3.5208159997637267,0.01955500010808464,0.00801900023361668,3.7603350001518265
226,0.19974199994976516,4.289652999887039,0.05666700008077896,0.02777800000330899,4.573839999920892
227,0.21800100012114854,3.436092999891116,0.019351999981154222,0.009185000180877978,3.682631000174297
228,0.21609400027955417,3.4814440000445757,0.019814999632217223,0.008852000064507592,3.7262050000208546
229,0.23527899975306354,3.5836860001836612,0.0293889997919905,0.011500000255182385,3.8598539999838977
230,0.21064900010969723,3.4754999996948754,0.01833400028772303,0.009241000043402892,3.7137240001356986
231,0.20007500006613554,4.248448999987886,0.02270400000270456,0.009814999884838471,4.481042999941565
232,0.21498299975064583,3.4628889998202794,0.018741000076261116,0.007685000127821695,3.704297999775008
233,0.2150939999410184,3.4446849999767437,0.018389000160823343,0.00762999979997403,3.6857979998785595
234,0.1353719999315217,3.4448700002940313,0.018370999896433204,0.008128999979817308,3.6067420001018036
235,0.21085300022605225,3.4470370001145056,0.019870999949489487,0.008128999979817308,3.6858900002698647
236,0.19474200007607578,3.553278999788745,0.019981000150437467,0.00838899995869724,3.7763909999739553
237,0.1829079997150984,3.3877589999065094,0.01537000025564339,0.007778000053804135,3.5938149999310554
238,0.20872400000371272,3.499537000152486,0.01957399990715203,0.009296999905927805,3.7371319999692787
239,0.14392699995369185,3.4140930001740344,0.016351999875041656,0.008999999863590347,3.5833719998663582
240,0.21724199996242533,3.482129000076384,0.019055999928241363,0.007962999916344415,3.726389999883395
241,0.21544499986703158,3.849705999982689,0.021704000118916156,0.011000000085914508,4.097855000054551
242,0.2086670001517632,3.4585379999043653,0.020203000076435274,0.008426000022154767,3.6958340001547185
243,0.20422300030986662,3.2813699999678647,0.015351999991253251,0.008628999694337836,3.5095739999633224
244,0.1382039999953122,3.4199259998786147,0.031037000098876888,0.01640800019231392,3.6055750001651177
245,0.36591000025509857,3.616352999870287,0.025537000055919634,0.018943999748444185,4.026743999929749
246,0.23442700012310524,3.5912049997932627,0.021629999992001103,0.015111000266188057,3.862373000174557
247,0.20340799983387114,3.2675550000931253,0.01527800031908555,0.008425999567407416,3.4946669998134894
248,0.2106859997184074,3.433093000239751,0.016184999822144164,0.008259999958681874,3.6682239997389843
249,0.3449650002949056,4.103632999886031,0.014110999927652301,0.007925999852886889,4.470634999961476
250,0.20764900000358466,3.492019000077562,0.018555999758973485,0.008555000022170134,3.72677899986229
251,0.22094599989941344,3.64270399995803,0.01726000027701957,0.009703999694465892,3.890613999828929
252,0.2050190000773,3.459036999629461,0.01938900004461175,0.008222999895224348,3.6916679996465973
253,0.20764900000358466,3.274610000062239,0.019204000182071468,0.008296000032714801,3.50975900028061
254,0.1774259999365313,3.3218700000361423,0.027334000151313376,0.011481000001367647,3.5381110001253546
255,0.2145009998457681,3.267221999976755,0.017888999991555465,0.007925999852886889,3.5075379996669653
256,0.22718600030202651,3.331889000037336,0.016869999853952322,0.008184999842342222,3.584130000035657
257,0.16235199973380077,3.1940550002218515,0.013869999747839756,0.006889000360388309,3.3771660000638803
258,0.2188900002693117,3.47538899995925,0.015481999980693217,0.009111000053962925,3.718872000263218
259,0.16296300009344122,3.530815999965853,0.022017999981471803,0.011815000107162632,3.7276120001479285
260,0.21140899980309769,3.4642959999473533,0.01601900021341862,0.008795999747235328,3.700519999711105
261,0.2636119997987407,3.4883160001299984,0.016739999864512356,0.009166999916487839,3.7778349997097393
262,0.21151999999347026,3.5407230002419965,0.029629999971803045,0.016851000054884935,3.7987240002621547
263,0.2220010001110495,3.473722999842721,0.01727800008666236,0.00953700009631575,3.7225390001367487
264,0.3114090000053693,3.579278999950475,0.0231849999181577,0.01183299991680542,3.9257059997908073
265,0.2125559999512916,3.444148999733443,0.01640700020288932,0.009518999831925612,3.6826309997195494
266,0.26364899986219825,3.543074999925011,0.01575900023453869,0.00905599972611526,3.8315389997478633
267,0.2261309996356431,3.3958150002035836,0.015259000065270811,0.008833999800117454,3.646038999704615
268,0.24474299971188884,3.4469070001250657,0.01651899992793915,0.007852000180719187,3.716020999945613
269,0.35272499962957227,4.18033700043452,0.014666999959445093,0.009425999905943172,4.55715499992948
270,0.22679799985780846,3.4497960000408057,0.01868599974841345,0.008055000307649607,3.703334999954677
271,0.44220600011612987,5.711234000045806,0.016723000044294167,0.009277000117435819,6.179440000323666
272,0.16248299971266533,3.3964620001825097,0.01440799996998976,0.008647999948152574,3.5820009998133173
273,0.21850099983566906,3.423556000143435,0.015093000001797918,0.007887999800004764,3.665037999780907
274,0.17094599979827763,3.5990000001220324,0.020944999960192945,0.013592999948741635,3.8044839998292446
275,0.20433400004549185,3.454370999861567,0.015518000054726144,0.007945000106701627,3.6821680000684864
276,0.20611199988707085,3.495426999961637,0.015907000033621443,0.009185000180877978,3.7266310000632075
277,0.15381499997602077,3.3769819997360173,0.0140370002554846,0.008740999874135014,3.5535749998416577
278,0.21646499999405933,3.4679260002121737,0.014999999621068127,0.008092000371107133,3.7074830001984083
279,0.23713100017630495,3.3710549996612826,0.021982000362186227,0.010184999609919032,3.640352999809693
280,0.2127230000041891,3.319277000173315,0.01642600000195671,0.00877799993759254,3.5572040001170535
281,0.22987100010141148,3.3426850000068953,0.015333999726863112,0.008203000106732361,3.5960929999419022
282,0.15431600013471325,3.3065919997170568,0.01564800004416611,0.00801900023361668,3.484575000129553
283,0.2102050002577016,3.379091999704542,0.016056000276876148,0.008889000127965119,3.614242000367085
284,0.28644599979088525,3.8422430002356123,0.01974099996004952,0.01098099983209977,4.159410999818647
285,0.20196400009808713,3.445444999670144,0.015889000223978655,0.008277999768324662,3.6715759997605346
286,0.19661199985421263,3.5240560000602272,0.014943999758543214,0.008278000223072013,3.743889999896055
287,0.15348200031439774,3.390889000002062,0.01383299968438223,0.007482000000891276,3.565686000001733
288,0.2251129999422119,3.444185000262223,0.015962999896146357,0.00877799993759254,3.694039000038174
289,0.34729799972410547,3.3487410000816453,0.015981000160536496,0.008758999683777802,3.720778999650065
290,0.213889999940875,3.2648510000399256,0.014944000213290565,0.008499999694322469,3.5021849998884136
291,0.23220499997478328,3.2979620000332943,0.016666999727021903,0.0074450003921811,3.5542790001272806
292,0.1434639998478815,3.2208319998972,0.016185000276891515,0.007851999725971837,3.388332999747945
293,0.22220399978323258,3.383574000054068,0.02079700016111019,0.008314999831782188,3.634889999830193
294,0.23942799998621922,4.756025000006048,0.02881499995055492,0.012814999990951037,5.037082999933773
295,0.3925769997294992,3.763963999972475,0.03479699989838991,0.015019000329630217,4.206356999929994
296,0.3546869997990143,3.8196509999579575,0.02890699988711276,0.012445000265870476,4.215689999909955
297,0.20701899984487682,3.4621859999788285,0.04096300017408794,0.014666999959445093,3.7248349999572383
298,0.2189269998780219,3.482018999875436,0.018167000234825537,0.008221999905799748,3.727334999894083
299,0.26459399987288634,3.583223000077851,0.013500000022759195,0.008277999768324662,3.869594999741821
